Artist,SoundCloud followers,Booking currency?,Source
Zingara,50257,Above - booking is not currency at this size,measured 2026-08-04
SubDocta,49661,Above - booking is not currency at this size,measured 2026-08-04
Seth David,43465,Above - booking is not currency at this size,measured 2026-08-04
Capochino,42319,Above - booking is not currency at this size,measured 2026-08-04
Super Future,40008,Above - booking is not currency at this size,measured 2026-08-04
Lumasi,39996,Above - booking is not currency at this size,measured 2026-08-04
ProbCause,37534,Above - booking is not currency at this size,measured 2026-08-04
VCTRE,34635,Edge - booking still means something,measured 2026-08-04
Wreckno,32400,Edge - booking still means something,measured 2026-08-04
Chmura,30139,Edge - booking still means something,measured 2026-08-04
XotiX,29269,Edge - booking still means something,measured 2026-08-04
Digital Ethos,28591,Edge - booking still means something,measured 2026-08-04
Evalution,27370,Edge - booking still means something,measured 2026-08-04
Ozztin,26113,Edge - booking still means something,measured 2026-08-04
Steller,25194,Edge - booking still means something,measured 2026-08-04
Slang Dogs,24304,Edge - booking still means something,measured 2026-08-04
Ashez,22992,Edge - booking still means something,measured 2026-08-04
Wraz.,18257,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
rSUN,16904,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Secret Recipe,16134,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Josh Teed,14306,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
MontyCler,13576,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Noetika,13394,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Ghost Lotus,11875,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Skysia,11508,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Floret Loret,11064,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
GALLIUM,10529,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Comisar,10522,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
HerShe,10271,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Austeria,9381,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Ooga,8962,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Swomp,8326,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Mousai,5392,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Don Jamal,5325,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
Blookah,4622,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
JAZ IMSKY,3156,IN CURRENCY - a booking is worth a lot here,measured 2026-08-04
STVSH,26000,Edge - booking still means something,vault 2026-07-26
Blurrd Vzn,21900,Edge - booking still means something,vault 2026-07-26
OkayJake,19500,IN CURRENCY - a booking is worth a lot here,vault 2026-07-26
Gunpoint,19500,IN CURRENCY - a booking is worth a lot here,vault 2026-07-26
detre,15400,IN CURRENCY - a booking is worth a lot here,vault 2026-07-26
Daggz,10900,IN CURRENCY - a booking is worth a lot here,vault 2026-07-26
Crucial,1865,Below - too small to borrow reach,vault 2026-07-26
Yoko,,,AMBIGUOUS - name too generic; 'yoko bass' returned no plausible match. NOT measured
Elohim,,,AMBIGUOUS - collides with a well-known pop artist of the same name. NOT measured
